Period,Year,Month,Item,Category,Archetype,Site,Region,Climate,Demand,Actual_Issue,Lost_Sales,Returns,Promo_Flag,Unit_Price
2022-02,2022,2,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,237,232,5,2,0,233.1
2022-03,2022,3,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,216,216,0,1,0,233.1
2022-04,2022,4,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,222,216,6,5,0,233.1
2022-05,2022,5,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,250,250,0,5,0,233.1
2022-06,2022,6,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,198,198,0,5,0,233.1
2022-07,2022,7,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,191,191,0,4,0,233.1
2022-08,2022,8,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,200,200,0,8,0,233.1
2022-09,2022,9,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,213,213,0,4,0,233.1
2022-10,2022,10,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,175,173,2,5,0,233.1
2022-11,2022,11,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,182,182,0,1,0,233.1
2022-12,2022,12,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,227,227,0,10,0,233.1
2023-01,2023,1,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,198,192,6,10,0,233.1
2023-02,2023,2,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,207,207,0,6,0,233.1
2023-03,2023,3,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,196,196,0,4,0,233.1
2023-04,2023,4,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,207,207,0,3,0,233.1
2023-05,2023,5,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,217,217,0,7,0,233.1
2023-06,2023,6,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,229,229,0,7,0,233.1
2023-07,2023,7,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,204,201,3,3,0,233.1
2023-08,2023,8,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,230,226,4,5,0,233.1
2023-09,2023,9,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,188,184,4,4,0,233.1
2023-10,2023,10,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,186,186,0,6,0,233.1
2023-11,2023,11,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,238,238,0,7,0,233.1
2023-12,2023,12,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,217,217,0,6,0,233.1
2024-01,2024,1,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,199,199,0,6,0,233.1
2024-02,2024,2,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,221,221,0,4,0,233.1
2024-03,2024,3,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,240,240,0,5,0,233.1
2024-04,2024,4,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,243,243,0,2,0,233.1
2024-05,2024,5,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,203,203,0,7,0,233.1
2024-06,2024,6,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,212,212,0,5,0,233.1
2024-07,2024,7,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,210,205,5,4,0,233.1
2024-08,2024,8,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,186,186,0,3,0,233.1
2024-09,2024,9,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,209,209,0,3,0,233.1
2024-10,2024,10,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,198,198,0,5,0,233.1
2024-11,2024,11,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,231,231,0,4,0,233.1
2024-12,2024,12,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,234,234,0,2,0,233.1
2025-01,2025,1,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,213,213,0,7,0,233.1
2025-02,2025,2,Brake Disc Rotor,Brakes,stable,Reno West,West,temperate,210,210,0,4,0,233.1
2021-01,2021,1,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,322,322,0,4,0,371.85
2021-02,2021,2,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,334,334,0,10,0,371.85
2021-03,2021,3,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,393,393,0,10,0,371.85
2021-04,2021,4,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,352,348,4,5,0,371.85
2021-05,2021,5,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,331,319,12,4,0,371.85
2021-06,2021,6,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,332,332,0,10,0,371.85
2021-07,2021,7,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,368,368,0,7,0,371.85
2021-08,2021,8,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,348,348,0,12,0,371.85
2021-09,2021,9,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,339,339,0,10,0,371.85
2021-10,2021,10,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,314,307,7,9,0,371.85
2021-11,2021,11,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,359,359,0,7,0,371.85
2021-12,2021,12,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,328,328,0,9,0,371.85
2022-01,2022,1,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,331,331,0,13,0,371.85
2022-02,2022,2,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,373,373,0,5,0,371.85
2022-03,2022,3,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,376,376,0,7,0,371.85
2022-04,2022,4,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,328,328,0,6,0,371.85
2022-05,2022,5,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,348,346,2,7,0,371.85
2022-06,2022,6,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,349,349,0,10,0,371.85
2022-07,2022,7,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,385,385,0,9,0,371.85
2022-08,2022,8,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,278,274,4,7,0,371.85
2022-09,2022,9,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,331,331,0,6,0,371.85
2022-10,2022,10,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,284,284,0,4,0,371.85
2022-11,2022,11,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,325,325,0,6,0,371.85
2022-12,2022,12,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,336,336,0,11,0,371.85
2023-01,2023,1,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,327,327,0,8,0,371.85
2023-02,2023,2,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,332,332,0,7,0,371.85
2023-03,2023,3,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,372,372,0,11,0,371.85
2023-04,2023,4,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,340,340,0,4,0,371.85
2023-05,2023,5,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,313,313,0,6,0,371.85
2023-06,2023,6,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,368,360,8,6,0,371.85
2023-07,2023,7,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,374,374,0,16,0,371.85
2023-08,2023,8,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,352,342,10,9,0,371.85
2023-09,2023,9,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,282,282,0,7,0,371.85
2023-10,2023,10,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,329,320,9,2,0,371.85
2023-11,2023,11,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,362,362,0,6,0,371.85
2023-12,2023,12,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,317,314,3,8,0,371.85
2024-01,2024,1,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,338,338,0,7,0,371.85
2024-02,2024,2,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,360,360,0,13,0,371.85
2024-03,2024,3,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,402,402,0,12,0,371.85
2024-04,2024,4,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,407,407,0,9,0,371.85
2024-05,2024,5,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,308,308,0,9,0,371.85
2024-06,2024,6,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,414,414,0,16,0,371.85
2024-07,2024,7,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,313,313,0,7,0,371.85
2024-08,2024,8,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,356,356,0,9,0,371.85
2024-09,2024,9,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,369,369,0,13,0,371.85
2024-10,2024,10,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,294,294,0,5,0,371.85
2024-11,2024,11,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,357,349,8,12,0,371.85
2024-12,2024,12,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,343,343,0,5,0,371.85
2025-01,2025,1,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,371,371,0,10,0,371.85
2025-02,2025,2,Brake Disc Rotor,Brakes,stable,Chicago North,Midwest,cold,353,353,0,11,0,371.85
2021-01,2021,1,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,238,238,0,1,0,54.96
2021-02,2021,2,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,257,257,0,2,0,54.96
2021-03,2021,3,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,289,289,0,3,0,54.96
2021-04,2021,4,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,264,261,3,2,0,54.96
2021-05,2021,5,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,285,285,0,1,0,54.96
2021-06,2021,6,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,266,266,0,3,0,54.96
2021-07,2021,7,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,279,279,0,1,0,54.96
2021-08,2021,8,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,240,235,5,0,0,54.96
2021-09,2021,9,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,284,283,1,1,0,54.96
2021-10,2021,10,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,225,219,6,1,0,54.96
2021-11,2021,11,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,234,234,0,1,0,54.96
2021-12,2021,12,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,228,228,0,3,0,54.96
2022-01,2022,1,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,293,293,0,3,0,54.96
2022-02,2022,2,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,269,269,0,3,0,54.96
2022-03,2022,3,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,251,251,0,0,0,54.96
2022-04,2022,4,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,284,284,0,3,0,54.96
2022-05,2022,5,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,286,277,9,3,0,54.96
2022-06,2022,6,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,292,292,0,1,0,54.96
2022-07,2022,7,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,216,216,0,2,0,54.96
2022-08,2022,8,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,236,227,9,1,0,54.96
2022-09,2022,9,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,227,227,0,1,0,54.96
2022-10,2022,10,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,196,196,0,0,0,54.96
2022-11,2022,11,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,273,273,0,2,0,54.96
2022-12,2022,12,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,247,247,0,0,0,54.96
2023-01,2023,1,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,262,260,2,1,0,54.96
2023-02,2023,2,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,300,291,9,1,0,54.96
2023-03,2023,3,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,265,258,7,4,0,54.96
2023-04,2023,4,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,251,251,0,1,0,54.96
2023-05,2023,5,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,260,260,0,1,0,54.96
2023-06,2023,6,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,273,270,3,1,0,54.96
2023-07,2023,7,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,246,246,0,4,0,54.96
2023-08,2023,8,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,228,227,1,2,0,54.96
2023-09,2023,9,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,257,248,9,4,0,54.96
2023-10,2023,10,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,242,242,0,1,0,54.96
2023-11,2023,11,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,208,208,0,0,0,54.96
2023-12,2023,12,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,227,227,0,2,0,54.96
2024-01,2024,1,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,277,277,0,1,0,54.96
2024-02,2024,2,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,274,274,0,3,0,54.96
2024-03,2024,3,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,243,238,5,3,0,54.96
2024-04,2024,4,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,256,253,3,2,0,54.96
2024-05,2024,5,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,258,258,0,5,0,54.96
2024-06,2024,6,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,268,268,0,2,0,54.96
2024-07,2024,7,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,220,220,0,1,0,54.96
2024-08,2024,8,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,224,224,0,1,0,54.96
2024-09,2024,9,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,255,255,0,0,0,54.96
2024-10,2024,10,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,233,233,0,3,0,54.96
2024-11,2024,11,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,262,262,0,0,0,54.96
2024-12,2024,12,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,227,218,9,1,0,54.96
2025-01,2025,1,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,267,259,8,2,0,54.96
2025-02,2025,2,Brake Disc Rotor,Brakes,stable,Phoenix West,Southwest,hot,275,270,5,0,0,54.96
2021-01,2021,1,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,216,216,0,1,0,452.78
2021-02,2021,2,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,226,226,0,0,0,452.78
2021-03,2021,3,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,237,237,0,2,0,452.78
2021-04,2021,4,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,220,220,0,2,0,452.78
2021-05,2021,5,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,218,218,0,0,0,452.78
2021-06,2021,6,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,224,221,3,3,0,452.78
2021-07,2021,7,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,236,236,0,3,0,452.78
2021-08,2021,8,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,206,206,0,1,0,452.78
2021-09,2021,9,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,222,215,7,2,0,452.78
2021-10,2021,10,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,242,242,0,1,0,452.78
2021-11,2021,11,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,211,209,2,0,0,452.78
2021-12,2021,12,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,235,235,0,1,0,452.78
2022-01,2022,1,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,253,253,0,0,0,452.78
2022-02,2022,2,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,232,223,9,3,0,452.78
2022-03,2022,3,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,233,233,0,3,0,452.78
2022-04,2022,4,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,267,267,0,3,0,452.78
2022-05,2022,5,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,252,252,0,2,0,452.78
2022-06,2022,6,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,261,261,0,2,0,452.78
2022-07,2022,7,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,242,242,0,5,0,452.78
2022-08,2022,8,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,222,222,0,1,0,452.78
2022-09,2022,9,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,233,233,0,0,0,452.78
2022-10,2022,10,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,228,228,0,1,0,452.78
2022-11,2022,11,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,258,258,0,1,0,452.78
2022-12,2022,12,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,229,229,0,1,0,452.78
2023-01,2023,1,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,235,235,0,0,0,452.78
2023-02,2023,2,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,239,239,0,2,0,452.78
2023-03,2023,3,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,271,271,0,1,0,452.78
2023-04,2023,4,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,227,224,3,0,0,452.78
2023-05,2023,5,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,263,263,0,0,0,452.78
2023-06,2023,6,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,249,249,0,1,0,452.78
2023-07,2023,7,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,219,211,8,3,0,452.78
2023-08,2023,8,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,251,251,0,1,0,452.78
2023-09,2023,9,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,266,266,0,2,0,452.78
2023-10,2023,10,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,241,235,6,2,0,452.78
2023-11,2023,11,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,266,261,5,1,0,452.78
2023-12,2023,12,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,241,241,0,3,0,452.78
2024-01,2024,1,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,203,203,0,2,0,452.78
2024-02,2024,2,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,216,210,6,1,0,452.78
2024-03,2024,3,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,249,249,0,0,0,452.78
2024-04,2024,4,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,235,235,0,0,0,452.78
2024-05,2024,5,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,227,227,0,5,0,452.78
2024-06,2024,6,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,239,239,0,2,0,452.78
2024-07,2024,7,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,246,246,0,4,0,452.78
2024-08,2024,8,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,201,201,0,3,0,452.78
2024-09,2024,9,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,227,227,0,0,0,452.78
2024-10,2024,10,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,251,251,0,3,0,452.78
2024-11,2024,11,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,216,211,5,1,0,452.78
2024-12,2024,12,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,257,257,0,3,0,452.78
2025-01,2025,1,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,236,233,3,0,0,452.78
2025-02,2025,2,Brake Disc Rotor,Brakes,stable,Denver Central,Mountain,cold,250,250,0,1,0,452.78
2021-01,2021,1,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,262,262,0,8,0,221.08
2021-02,2021,2,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,246,246,0,6,0,221.08
2021-03,2021,3,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,274,270,4,7,0,221.08
2021-04,2021,4,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,263,263,0,10,0,221.08
2021-05,2021,5,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,247,247,0,8,0,221.08
2021-06,2021,6,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,262,262,0,8,0,221.08
2021-07,2021,7,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,250,250,0,11,0,221.08
2021-08,2021,8,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,279,279,0,9,0,221.08
2021-09,2021,9,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,274,274,0,9,0,221.08
2021-10,2021,10,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,240,240,0,5,0,221.08
2021-11,2021,11,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,271,264,7,4,0,221.08
2021-12,2021,12,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,237,237,0,12,0,221.08
2022-01,2022,1,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,262,262,0,8,0,221.08
2022-02,2022,2,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,289,289,0,8,0,221.08
2022-03,2022,3,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,303,303,0,9,0,221.08
2022-04,2022,4,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,271,271,0,4,0,221.08
2022-05,2022,5,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,325,325,0,12,0,221.08
2022-06,2022,6,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,247,247,0,5,0,221.08
2022-07,2022,7,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,246,246,0,9,0,221.08
2022-08,2022,8,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,282,282,0,8,0,221.08
2022-09,2022,9,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,298,298,0,7,0,221.08
2022-10,2022,10,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,270,270,0,3,0,221.08
2022-11,2022,11,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,276,276,0,11,0,221.08
2022-12,2022,12,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,229,229,0,4,0,221.08
2023-01,2023,1,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,229,224,5,3,0,221.08
2023-02,2023,2,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,283,274,9,10,0,221.08
2023-03,2023,3,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,292,292,0,7,0,221.08
2023-04,2023,4,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,262,262,0,7,0,221.08
2023-05,2023,5,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,286,286,0,6,0,221.08
2023-06,2023,6,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,282,282,0,11,0,221.08
2023-07,2023,7,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,307,307,0,7,0,221.08
2023-08,2023,8,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,269,269,0,6,0,221.08
2023-09,2023,9,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,288,284,4,7,0,221.08
2023-10,2023,10,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,260,260,0,5,0,221.08
2023-11,2023,11,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,274,274,0,7,0,221.08
2023-12,2023,12,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,304,304,0,5,0,221.08
2024-01,2024,1,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,252,242,10,4,0,221.08
2024-02,2024,2,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,358,353,5,9,0,221.08
2024-03,2024,3,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,293,293,0,12,0,221.08
2024-04,2024,4,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,295,294,1,4,0,221.08
2024-05,2024,5,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,296,296,0,6,0,221.08
2024-06,2024,6,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,321,321,0,13,0,221.08
2024-07,2024,7,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,290,290,0,12,0,221.08
2024-08,2024,8,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,231,231,0,8,0,221.08
2024-09,2024,9,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,308,308,0,7,0,221.08
2024-10,2024,10,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,252,252,0,7,0,221.08
2024-11,2024,11,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,279,279,0,6,0,221.08
2024-12,2024,12,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,250,250,0,4,0,221.08
2025-01,2025,1,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,299,296,3,8,0,221.08
2025-02,2025,2,Brake Disc Rotor,Brakes,stable,Seattle Pacific,Northwest,wet,266,266,0,8,0,221.08
2021-01,2021,1,Brake Disc Rotor,Brakes,stable,Miami East,Southeast,hot,239,239,0,2,0,599.43
2021-02,2021,2,Brake Disc Rotor,Brakes,stable,Miami East,Southeast,hot,271,271,0,2,0,599.43
2021-03,2021,3,Brake Disc Rotor,Brakes,stable,Miami East,Southeast,hot,255,255,0,1,0,599.43
2021-04,2021,4,Brake Disc Rotor,Brakes,stable,Miami East,Southeast,hot,262,262,0,1,0,599.43
2021-05,2021,5,Brake Disc Rotor,Brakes,stable,Miami East,Southeast,hot,270,263,7,4,0,599.43
